State,Year,emission_value_mlns,energy_value
AZ,2018,1.7870394444950077,92789
AZ,2019,1.7415305910387697,92496
AZ,2020,1.99865409662113,90813
AZ,2021,2.0281555564510554,99266
AZ,2022,1.400972892823568,101214
AZ,2023,1.3876668531736183,108445
CA,2002,8.753821395282445,355372
CA,2003,9.466384392562318,406651
CA,2004,8.380859102641494,423564
CA,2005,7.77814442016866,439340
CA,2006,7.862146314020184,464148
CA,2007,7.487497283969056,403527
CA,2008,9.448271936755711,397934
CA,2009,6.247571841311577,419883
CA,2010,5.585141293197843,492958
CA,2011,5.531392741223029,541229
CA,2012,5.657453624581177,495641
CA,2013,5.581811244778953,554028
CA,2014,5.711761917693649,560635
CA,2015,7.333651674214836,564184
CA,2016,5.590616721490878,645141
CA,2017,9.070414082296042,724945
CA,2018,9.25915155227101,690793
CA,2019,4.467842762319433,788792
CA,2020,13.782967952218602,738584
CA,2021,18.739257100984357,810020
CA,2022,5.219857454811087,880995
CA,2023,5.317381070692447,1065179
CO,2002,3.6946667011452736,17922
CO,2003,2.870664136611071,19325
CO,2004,2.7343835324879215,19745
CO,2005,2.643546118998995,21107
CO,2006,2.613946923166658,24923
CO,2007,2.458433303570531,31007
CO,2008,2.3999581696548167,43089
CO,2009,2.196873261909418,45679
CO,2010,2.0708021121795124,49454
CO,2011,2.0790509688773047,60210
CO,2012,2.1341134062768856,60542
CO,2013,2.4158937462479817,68191
CO,2014,1.7787097713544935,71728
CO,2015,1.7429478091429984,76060
CO,2016,2.1244426575126427,86994
CO,2017,1.7431103978021458,88199
CO,2018,3.0310900366874285,90564
CO,2019,1.776618646119605,98088
CO,2020,4.223354840252583,95342
CO,2021,1.8862089986831496,103956
CO,2022,1.5135279354760496,114918
CO,2023,1.5791037533340657,115062
CT,2002,1.138155329596324,26350
CT,2003,1.0849520455575168,29187
CT,2004,0.9481812854516687,39916
CT,2005,0.9027526255136034,26052
CT,2006,0.8205099804003773,32249
CT,2007,0.7888533344710796,33936
CT,2008,0.7392415272157882,32904
CT,2009,0.6881138098007431,38410
CT,2010,0.6737027782755777,40969
CT,2011,0.6245965813669618,39939
CT,2012,0.5888906412172517,37244
CT,2013,0.5829812748709001,39856
CT,2014,0.5628758541853685,41799
CT,2015,0.5383148429867592,43162
CT,2016,0.4595620543273093,47246
CT,2017,0.4480152771597487,44620
CT,2018,0.4428212764487104,46800
CT,2019,0.43648150570894445,46251
CT,2020,0.4364255770526945,46526
CT,2021,0.46033775166446184,49306
CT,2022,0.43212118476480094,49084
CT,2023,0.42406392399613474,48983
DC,2002,0.1618746731034679,879
DC,2003,0.1502774930876081,924
DC,2004,0.1429028718115129,942
DC,2005,0.13254890473060568,263
DC,2006,0.11862657035215898,618
DC,2007,0.1073953522080019,743
DC,2008,0.0975600055504144,561
DC,2009,0.0909055915158197,616
DC,2010,0.0742506677967507,1078
DC,2011,0.06893939144181709,1200
DC,2012,0.061976883352991,964
DC,2013,0.06747325671828319,1033
DC,2014,0.0652927097552719,1149
DC,2015,0.062269515855270595,1644
DC,2016,0.0460340045344951,2020
DC,2017,0.046040038542631195,1959
DC,2018,0.044682675695481,2258
DC,2019,0.049630000214425096,2515
DC,2020,0.0398824900438652,2344
DC,2021,0.0419964883949525,2487
DC,2022,0.04001485027152666,2623
DC,2023,0.03943592798739856,2796
DE,2002,0.4333966241715384,1314
DE,2003,0.4337754909805283,1400
DE,2004,0.4126926215549549,1436
DE,2005,0.3978909453662724,1891
DE,2006,0.3447356237718153,3638
DE,2007,0.33750116225583665,4996
DE,2008,0.32044735536833124,5806
DE,2009,0.2804770460994527,6644
DE,2010,0.2629535060938615,7710
DE,2011,0.2457221020728091,7704
DE,2012,0.2272280698212441,6856
DE,2013,0.2227368413680223,7060
DE,2014,0.217343086787084,7367
DE,2015,0.2092318175834291,6986
DE,2016,0.191553539304926,6904
DE,2017,0.18746738729591741,7068
DE,2018,0.1898190810835085,7209
DE,2019,0.1895542164811277,7653
DE,2020,0.1734826355524576,6793
DE,2021,0.1829368070740439,7151
DE,2022,0.1775347594918695,7402
DE,2023,0.1748833530455388,8040
FL,2002,10.616847612318358,173191
FL,2003,9.497599662751016,186770
FL,2004,9.570820487773952,177836
FL,2005,9.04636218015075,186236
FL,2006,8.547706954308774,191666
FL,2007,8.145484247443132,200137
FL,2008,7.516860750490391,242264
FL,2009,6.947122992890646,272575
FL,2010,6.404768869927522,288862
FL,2011,6.253267987960214,289556
FL,2012,5.576559087192001,288154
FL,2013,5.685146748367293,302082
FL,2014,5.429457988475704,297773
FL,2015,5.132302409904123,292986
FL,2016,4.844717806304689,289945
FL,2017,5.302510862406341,300548
FL,2018,5.705020563862509,301911
FL,2019,6.274451904216682,293232
FL,2020,5.29868598816994,278474
FL,2021,5.077768861274213,297290
FL,2022,4.819060587844767,304605
FL,2023,4.712020159781193,286307
GA,2002,6.9788951858890815,265402
GA,2003,6.264250424659218,193922
GA,2004,6.383793231086199,202455
GA,2005,6.165962381051818,192131
GA,2006,5.8998270683844,194871
GA,2007,6.3830759091767835,192418
GA,2008,5.244485642050185,185431
GA,2009,4.577820315843608,200811
GA,2010,4.495909506227838,226920
GA,2011,5.297233798422869,232231
GA,2012,3.917510254997072,226583
GA,2013,4.106573875694918,263563
GA,2014,3.827927193088213,279758
GA,2015,3.350407299149705,284373
GA,2016,3.293458245366187,274693
GA,2017,4.341019147564917,268645
GA,2018,3.6774872390778124,272512
GA,2019,3.416762910163619,281843
GA,2020,3.015550245035549,286919
GA,2021,3.462065571263643,289113
GA,2022,3.4697643746811773,293238
GA,2023,3.3751603848665144,291462
HI,2002,0.6218515293764448,9306
HI,2003,0.6311310417544996,11492
HI,2004,0.5251800001417236,11692
HI,2005,0.5130955034689398,12011
HI,2006,0.5196481407400053,12753
HI,2007,0.6128391159091368,13227
HI,2008,0.4804188971424761,15545
HI,2009,0.46053848482082127,16028
HI,2010,0.46948206246881435,14385
HI,2011,0.41590331254006563,15365
HI,2012,0.5169697022851218,15252
