Year,State,Category,Type,Vehicles
1901,Illinois,Motorcycle,,0
1901,Indiana,Auto,,320
1901,Indiana,Bus,,0
1901,Indiana,Truck,,0
1901,Indiana,Motorcycle,,0
1901,Iowa,Auto,,60
1901,Iowa,Bus,,0
1901,Iowa,Truck,,0
1901,Iowa,Motorcycle,,0
1901,Kansas,Auto,,370
1901,Kansas,Bus,,0
1901,Kansas,Truck,,0
1901,Kansas,Motorcycle,,0
1901,Kentucky,Auto,,80
1901,Kentucky,Bus,,0
1901,Kentucky,Truck,,0
1901,Kentucky,Motorcycle,,0
1901,Louisiana,Auto,,120
1901,Louisiana,Bus,,0
1901,Louisiana,Truck,,0
1901,Louisiana,Motorcycle,,0
1901,Maine,Auto,,130
1901,Maine,Bus,,0
1901,Maine,Truck,,0
1901,Maine,Motorcycle,,0
1901,Maryland,Auto,,160
1901,Maryland,Bus,,0
1901,Maryland,Truck,,0
1901,Maryland,Motorcycle,,0
1901,Massachusetts,Auto,,1090
1901,Massachusetts,Bus,,0
1901,Massachusetts,Truck,,0
1901,Massachusetts,Motorcycle,,0
1901,Michigan,Auto,,660
1901,Michigan,Bus,,0
1901,Michigan,Truck,,0
1901,Michigan,Motorcycle,,0
1901,Minnesota,Auto,,480
1901,Minnesota,Bus,,0
1901,Minnesota,Truck,,0
1901,Minnesota,Motorcycle,,0
1901,Mississippi,Auto,,40
1901,Mississippi,Bus,,0
1901,Mississippi,Truck,,0
1901,Mississippi,Motorcycle,,0
1901,Missouri,Auto,,330
1901,Missouri,Bus,,0
1901,Missouri,Truck,,0
1901,Missouri,Motorcycle,,0
1901,Montana,Auto,,40
1901,Montana,Bus,,0
1901,Montana,Truck,,0
1901,Montana,Motorcycle,,0
1901,Nebraska,Auto,,116
1901,Nebraska,Bus,,0
1901,Nebraska,Truck,,0
1901,Nebraska,Motorcycle,,0
1901,Nevada,Auto,,10
1901,Nevada,Bus,,0
1901,Nevada,Truck,,0
1901,Nevada,Motorcycle,,0
1901,New Hampshire,Auto,,90
1901,New Hampshire,Bus,,0
1901,New Hampshire,Truck,,0
1901,New Hampshire,Motorcycle,,0
1901,New Jersey,Auto,,590
1901,New Jersey,Bus,,0
1901,New Jersey,Truck,,0
1901,New Jersey,Motorcycle,,0
1901,New Mexico,Auto,,10
1901,New Mexico,Bus,,0
1901,New Mexico,Truck,,0
1901,New Mexico,Motorcycle,,0
1901,New York,Auto,,954
1901,New York,Bus,,0
1901,New York,Truck,,0
1901,New York,Motorcycle,,0
1901,North Carolina,Auto,,100
1901,North Carolina,Bus,,0
1901,North Carolina,Truck,,0
1901,North Carolina,Motorcycle,,0
1901,North Dakota,Auto,,150
1901,North Dakota,Bus,,0
1901,North Dakota,Truck,,0
1901,North Dakota,Motorcycle,,0
1901,Ohio,Auto,,880
1901,Ohio,Bus,,0
1901,Ohio,Truck,,0
1901,Ohio,Motorcycle,,0
1901,Oklahoma,Auto,,20
1901,Oklahoma,Bus,,0
1901,Oklahoma,Truck,,0
1901,Oklahoma,Motorcycle,,0
1901,Oregon,Auto,,160
1901,Oregon,Bus,,0
1901,Oregon,Truck,,0
1901,Oregon,Motorcycle,,0
1901,Pennsylvania,Auto,,2750
1901,Pennsylvania,Bus,,0
1901,Pennsylvania,Truck,,0
1901,Pennsylvania,Motorcycle,,0
1901,Rhode Island,Auto,,260
1901,Rhode Island,Bus,,0
1901,Rhode Island,Truck,,0
1901,Rhode Island,Motorcycle,,0
1901,South Carolina,Auto,,70
1901,South Carolina,Bus,,0
1901,South Carolina,Truck,,0
1901,South Carolina,Motorcycle,,0
1901,South Dakota,Auto,,100
1901,South Dakota,Bus,,0
1901,South Dakota,Truck,,0
1901,South Dakota,Motorcycle,,0
1901,Tennessee,Auto,,70
1901,Tennessee,Bus,,0
1901,Tennessee,Truck,,0
1901,Tennessee,Motorcycle,,0
1901,Texas,Auto,,230
1901,Texas,Bus,,0
1901,Texas,Truck,,0
1901,Texas,Motorcycle,,0
1901,Utah,Auto,,40
1901,Utah,Bus,,0
1901,Utah,Truck,,0
1901,Utah,Motorcycle,,0
1901,Vermont,Auto,,70
1901,Vermont,Bus,,0
1901,Vermont,Truck,,0
1901,Vermont,Motorcycle,,0
1901,Virginia,Auto,,90
1901,Virginia,Bus,,0
1901,Virginia,Truck,,0
1901,Virginia,Motorcycle,,0
1901,Washington,Auto,,230
1901,Washington,Bus,,0
1901,Washington,Truck,,0
1901,Washington,Motorcycle,,0
1901,West Virginia,Auto,,40
1901,West Virginia,Bus,,0
1901,West Virginia,Truck,,0
1901,West Virginia,Motorcycle,,0
1901,Wisconsin,Auto,,320
1901,Wisconsin,Bus,,0
1901,Wisconsin,Truck,,0
1901,Wisconsin,Motorcycle,,0
1901,Wyoming,Auto,,10
1901,Wyoming,Bus,,0
1901,Wyoming,Truck,,0
1901,Wyoming,Motorcycle,,0
1902,Alabama,Auto,,90
1902,Alabama,Bus,,0
1902,Alabama,Truck,,0
1902,Alabama,Motorcycle,,0
1902,Alaska,Auto,,0
1902,Alaska,Bus,,0
1902,Alaska,Truck,,0
1902,Alaska,Motorcycle,,0
1902,Arizona,Auto,,50
1902,Arizona,Bus,,0
