State,NAME,Year,Energy,value,INTPTLAT,INTPTLON
WV,West Virginia,2006,Solar,40,38.6472854,-80.6183274
WY,Wyoming,2006,Solar,3,42.9896591,-107.5443922
AK,Alaska,2007,Solar,0,63.347356,-152.8397334
AL,Alabama,2007,Solar,63,32.7395785,-86.8434469
AR,Arkansas,2007,Solar,53,34.8955256,-92.4446262
AZ,Arizona,2007,Solar,2634,34.2039362,-111.6063449
CA,California,2007,Solar,18727,37.1551773,-119.5434183
CO,Colorado,2007,Solar,247,38.9937669,-105.5087122
CT,Connecticut,2007,Solar,743,41.5798637,-72.7466572
DC,District of Columbia,2007,Solar,5,38.9042429,-77.0165243
DE,Delaware,2007,Solar,24,38.9985661,-75.441644
FL,Florida,2007,Solar,23146,28.3989775,-82.5143005
GA,Georgia,2007,Solar,245,32.6295789,-83.4235109
HI,Hawaii,2007,Solar,1461,19.8281671,-155.4950421
IA,Iowa,2007,Solar,17,42.0700227,-93.4933492
ID,Idaho,2007,Solar,16,44.348422,-114.558854
IL,Illinois,2007,Solar,928,40.1028754,-89.1526108
IN,Indiana,2007,Solar,100,39.9013136,-86.2919129
KS,Kansas,2007,Solar,24,38.4985464,-98.3834298
KY,Kentucky,2007,Solar,41,37.5336844,-85.2929801
LA,Louisiana,2007,Solar,77,30.708319,-91.6046207
MA,Massachusetts,2007,Solar,227,42.1565196,-71.4895915
MD,Maryland,2007,Solar,76,38.9466584,-76.6744939
ME,Maine,2007,Solar,116,45.4092843,-68.666616
MI,Michigan,2007,Solar,405,44.8441768,-85.6604907
MN,Minnesota,2007,Solar,141,46.3159573,-94.1996043
MO,Missouri,2007,Solar,34,38.3507508,-92.456782
MS,Mississippi,2007,Solar,11,32.6864714,-89.6561377
MT,Montana,2007,Solar,9,47.051177,-109.6348174
NC,North Carolina,2007,Solar,170,35.53971,-79.1308636
ND,North Dakota,2007,Solar,3,47.442174,-100.4608258
NE,Nebraska,2007,Solar,23,41.543305,-99.8118641
NH,New Hampshire,2007,Solar,51,43.6727945,-71.5841886
NJ,New Jersey,2007,Solar,1736,40.1072744,-74.6652012
NM,New Mexico,2007,Solar,164,34.4346844,-106.131618
NV,Nevada,2007,Solar,1052,39.3310928,-116.6151469
NY,New York,2007,Solar,1050,42.9133974,-75.5962723
OH,Ohio,2007,Solar,169,40.4149297,-82.7119975
OK,Oklahoma,2007,Solar,22,35.5900815,-97.4867789
OR,Oregon,2007,Solar,1029,43.9717125,-120.6229578
PA,Pennsylvania,2007,Solar,537,40.9046042,-77.8275233
RI,Rhode Island,2007,Solar,37,41.596485,-71.5264901
SC,South Carolina,2007,Solar,23,33.8741776,-80.8542639
SD,South Dakota,2007,Solar,4,44.4467957,-100.2381762
TN,Tennessee,2007,Solar,28,35.85846,-86.3496339
TX,Texas,2007,Solar,484,31.4347032,-99.2818238
UT,Utah,2007,Solar,38,39.3349925,-111.6563326
VA,Virginia,2007,Solar,394,37.5222512,-78.6681938
VT,Vermont,2007,Solar,54,44.0589536,-72.6710173
WA,Washington,2007,Solar,99,47.4073238,-120.5757999
WI,Wisconsin,2007,Solar,164,44.6309071,-89.7093916
WV,West Virginia,2007,Solar,43,38.6472854,-80.6183274
WY,Wyoming,2007,Solar,3,42.9896591,-107.5443922
AK,Alaska,2008,Solar,2,63.347356,-152.8397334
AL,Alabama,2008,Solar,64,32.7395785,-86.8434469
AR,Arkansas,2008,Solar,53,34.8955256,-92.4446262
AZ,Arizona,2008,Solar,2879,34.2039362,-111.6063449
CA,California,2008,Solar,20299,37.1551773,-119.5434183
CO,Colorado,2008,Solar,429,38.9937669,-105.5087122
CT,Connecticut,2008,Solar,828,41.5798637,-72.7466572
DC,District of Columbia,2008,Solar,7,38.9042429,-77.0165243
DE,Delaware,2008,Solar,31,38.9985661,-75.441644
FL,Florida,2008,Solar,23588,28.3989775,-82.5143005
GA,Georgia,2008,Solar,260,32.6295789,-83.4235109
HI,Hawaii,2008,Solar,1678,19.8281671,-155.4950421
IA,Iowa,2008,Solar,19,42.0700227,-93.4933492
ID,Idaho,2008,Solar,19,44.348422,-114.558854
IL,Illinois,2008,Solar,1025,40.1028754,-89.1526108
IN,Indiana,2008,Solar,102,39.9013136,-86.2919129
KS,Kansas,2008,Solar,23,38.4985464,-98.3834298
KY,Kentucky,2008,Solar,48,37.5336844,-85.2929801
LA,Louisiana,2008,Solar,79,30.708319,-91.6046207
MA,Massachusetts,2008,Solar,267,42.1565196,-71.4895915
MD,Maryland,2008,Solar,88,38.9466584,-76.6744939
ME,Maine,2008,Solar,127,45.4092843,-68.666616
MI,Michigan,2008,Solar,407,44.8441768,-85.6604907
MN,Minnesota,2008,Solar,180,46.3159573,-94.1996043
MO,Missouri,2008,Solar,35,38.3507508,-92.456782
MS,Mississippi,2008,Solar,12,32.6864714,-89.6561377
MT,Montana,2008,Solar,14,47.051177,-109.6348174
NC,North Carolina,2008,Solar,224,35.53971,-79.1308636
ND,North Dakota,2008,Solar,3,47.442174,-100.4608258
NE,Nebraska,2008,Solar,25,41.543305,-99.8118641
NH,New Hampshire,2008,Solar,59,43.6727945,-71.5841886
NJ,New Jersey,2008,Solar,1881,40.1072744,-74.6652012
NM,New Mexico,2008,Solar,177,34.4346844,-106.131618
NV,Nevada,2008,Solar,1487,39.3310928,-116.6151469
NY,New York,2008,Solar,1179,42.9133974,-75.5962723
OH,Ohio,2008,Solar,192,40.4149297,-82.7119975
OK,Oklahoma,2008,Solar,24,35.5900815,-97.4867789
OR,Oregon,2008,Solar,1161,43.9717125,-120.6229578
PA,Pennsylvania,2008,Solar,593,40.9046042,-77.8275233
RI,Rhode Island,2008,Solar,44,41.596485,-71.5264901
SC,South Carolina,2008,Solar,29,33.8741776,-80.8542639
SD,South Dakota,2008,Solar,4,44.4467957,-100.2381762
TN,Tennessee,2008,Solar,29,35.85846,-86.3496339
TX,Texas,2008,Solar,502,31.4347032,-99.2818238
UT,Utah,2008,Solar,42,39.3349925,-111.6563326
VA,Virginia,2008,Solar,449,37.5222512,-78.6681938
VT,Vermont,2008,Solar,75,44.0589536,-72.6710173
WA,Washington,2008,Solar,104,47.4073238,-120.5757999
WI,Wisconsin,2008,Solar,202,44.6309071,-89.7093916
WV,West Virginia,2008,Solar,46,38.6472854,-80.6183274
WY,Wyoming,2008,Solar,3,42.9896591,-107.5443922
AK,Alaska,2009,Solar,3,63.347356,-152.8397334
AL,Alabama,2009,Solar,62,32.7395785,-86.8434469
AR,Arkansas,2009,Solar,57,34.8955256,-92.4446262
AZ,Arizona,2009,Solar,3029,34.2039362,-111.6063449
CA,California,2009,Solar,20748,37.1551773,-119.5434183
CO,Colorado,2009,Solar,549,38.9937669,-105.5087122
CT,Connecticut,2009,Solar,894,41.5798637,-72.7466572
DC,District of Columbia,2009,Solar,8,38.9042429,-77.0165243
DE,Delaware,2009,Solar,50,38.9985661,-75.441644
FL,Florida,2009,Solar,23114,28.3989775,-82.5143005
GA,Georgia,2009,Solar,284,32.6295789,-83.4235109
HI,Hawaii,2009,Solar,1806,19.8281671,-155.4950421
IA,Iowa,2009,Solar,32,42.0700227,-93.4933492
ID,Idaho,2009,Solar,21,44.348422,-114.558854
IL,Illinois,2009,Solar,1077,40.1028754,-89.1526108
IN,Indiana,2009,Solar,127,39.9013136,-86.2919129
KS,Kansas,2009,Solar,24,38.4985464,-98.3834298
KY,Kentucky,2009,Solar,59,37.5336844,-85.2929801
